Transaction_ID,Customer_ID,Transaction_Amount,Transaction_Type,Transaction_Location,Transaction_Time,Device_Used,Account_Age,Credit_Score,Previous_Fraud,Is_Fraud
T46,C3443,6020.53,Withdrawal,"Clayside, Korea",2025-01-08 12:07:17,Mobile,10,785,1,1
T47,C8548,9269.66,Withdrawal,"Kaylamouth, Portugal",2025-02-02 03:33:04,Mobile,10,420,1,1
T48,C7090,9882.71,Withdrawal,"Patrickview, Morocco",2025-01-05 04:05:56,POS Terminal,12,494,0,0
T49,C7337,9319.25,Online Payment,"East Robertbury, American Samoa",2025-01-29 14:55:57,POS Terminal,20,653,0,0
T50,C3538,1830.24,Transfer,"East Paul, Tanzania",2025-01-08 07:26:27,Web,17,788,1,0
T51,C7686,4343.18,Transfer,"Port Kirsten, Afghanistan",2025-01-22 03:59:01,Mobile,13,630,0,0
T52,C9050,1051.94,Online Payment,"South Devin, Nicaragua",2025-01-18 13:44:46,Web,11,512,1,1
T53,C3831,3975.95,Withdrawal,"North Michaelborough, Turkmenistan",2025-02-05 05:45:30,POS Terminal,13,481,1,1
T54,C3229,4985.67,Deposit,"Johnfurt, Antigua and Barbuda",2025-02-02 09:47:58,ATM,14,321,0,0
T55,C1905,1811.4,Transfer,"Lake Timothy, Northern Mariana Islands",2025-01-18 05:58:16,Mobile,6,721,0,0
T56,C5515,5407.79,Withdrawal,"New Jesusland, Saint Kitts and Nevis",2025-02-08 21:27:09,Web,12,847,1,1
T57,C1996,6474.17,Withdrawal,"Sotochester, Hungary",2025-02-06 17:07:30,Mobile,11,699,1,1
T58,C8346,6050.58,Withdrawal,"Jeffersonmouth, South Africa",2025-01-28 00:01:05,ATM,15,374,0,1
T59,C5928,3492.8,Transfer,"South Kathrynmouth, Mayotte",2025-01-27 13:23:46,Web,10,336,0,0
T60,C1241,1393.74,Transfer,"West Russellton, Moldova",2025-02-14 08:32:16,Mobile,9,606,1,1
T61,C1995,732.48,Withdrawal,"New Kelsey, Bouvet Island (Bouvetoya)",2025-01-07 15:29:48,POS Terminal,19,376,1,1
T62,C6246,3400.44,Deposit,"Brianton, Tokelau",2025-02-13 14:13:20,ATM,20,683,0,0
T63,C1049,1957.45,Withdrawal,"Port Amber, Maldives",2025-01-01 01:18:11,ATM,12,770,1,1
T64,C9244,5303.72,Deposit,"North Troychester, Kazakhstan",2025-01-22 16:58:51,Web,7,332,0,0
T65,C3648,8511.59,Online Payment,"North Dianaton, Chad",2025-01-15 00:58:37,Web,11,850,0,1
T66,C8753,6244.77,Transfer,"Halltown, Macao",2025-02-02 05:23:52,ATM,6,337,1,0
T67,C7364,5238.19,Online Payment,"East Lynnchester, Saint Pierre and Miquelon",2025-02-05 04:31:05,Web,18,787,0,0
T68,C7965,1010.46,Transfer,"Nathanchester, Japan",2025-01-02 04:57:26,POS Terminal,17,514,0,0
T69,C6953,7392.3,Online Payment,"Jamestown, Guinea-Bissau",2025-01-28 11:30:05,ATM,18,822,0,0
T70,C9418,8196.68,Deposit,"Jackside, Cape Verde",2025-01-17 18:48:20,POS Terminal,12,484,1,1
T71,C5385,5725.89,Transfer,"Michaeltown, Mexico",2025-01-10 14:00:03,Web,6,780,0,0
T72,C4800,9789.98,Deposit,"Kimberlyshire, British Indian Ocean Territory (Chagos Archipelago)",2025-01-14 17:17:53,ATM,6,699,0,0
T73,C5293,9518.47,Transfer,"West Shawn, Puerto Rico",2025-01-05 19:08:22,POS Terminal,2,519,0,0
T74,C9282,6555.61,Transfer,"Port Jacqueline, Uganda",2025-01-27 16:14:13,Web,10,340,1,1
T75,C6345,6972.76,Deposit,"Randallburgh, Kyrgyz Republic",2025-01-09 16:32:44,Web,18,581,1,1
T76,C3312,7354.18,Online Payment,"Port Michellefort, Chad",2025-01-08 14:33:37,ATM,6,782,1,1
T77,C3403,4692.31,Transfer,"Dianamouth, Equatorial Guinea",2025-01-17 21:42:45,POS Terminal,13,846,1,0
T78,C8116,3970.7,Transfer,"Port Christopherhaven, Venezuela",2025-01-28 20:21:20,Mobile,15,584,0,0
T79,C8080,8746.1,Deposit,"Smithshire, Monaco",2025-01-26 15:13:27,Web,20,329,1,1
T80,C8386,1279.52,Deposit,"East April, Russian Federation",2025-01-21 09:52:12,POS Terminal,16,657,0,0
T81,C7476,2424.47,Withdrawal,"Wadeburgh, Spain",2025-02-10 10:36:21,Mobile,14,715,1,0
T82,C8064,4228.4,Transfer,"Cameronbury, Italy",2025-01-13 08:34:32,Mobile,5,596,1,1
T83,C1690,8703.36,Transfer,"West Meghanview, Bahrain",2025-01-04 06:30:33,ATM,11,729,0,0
T84,C6508,310.46,Deposit,"South Johnborough, Zimbabwe",2025-01-16 19:12:37,ATM,13,707,1,0
T85,C2757,4343.77,Deposit,"Georgehaven, Bangladesh",2025-01-30 21:34:00,Mobile,5,531,1,0
T86,C1381,7377.69,Deposit,"Smithport, Niger",2025-01-04 08:22:02,Web,12,534,1,0
T87,C4559,4349.79,Withdrawal,"Smithfort, Eritrea",2025-01-15 22:53:42,Mobile,5,688,1,0
T88,C8519,1494.68,Online Payment,"West Kaitlyn, Serbia",2025-01-03 00:02:24,POS Terminal,19,352,0,1
T89,C1934,1544.97,Online Payment,"Weavershire, Pakistan",2025-01-02 03:43:22,ATM,9,634,1,0
T90,C7042,6169.53,Online Payment,"Francisport, Mauritania",2025-01-20 13:49:39,ATM,8,649,1,1
T91,C9622,1516.05,Online Payment,"Brownmouth, Mozambique",2025-01-29 00:32:15,ATM,10,781,0,0
T92,C8796,8262.61,Deposit,"South Josephland, Sao Tome and Principe",2025-01-08 11:46:02,ATM,13,699,1,0
T93,C5860,5300.86,Deposit,"West Eileen, Vanuatu",2025-01-26 00:11:42,Mobile,18,828,0,1
T94,C2749,3510.4,Withdrawal,"East Matthewmouth, Japan",2025-02-06 02:11:56,Web,8,608,0,0
T95,C7675,6035.22,Online Payment,"North Tanyaburgh, Sweden",2025-01-31 15:34:14,POS Terminal,9,314,0,0
T96,C3137,1547.99,Online Payment,"Lake Rebecca, Sao Tome and Principe",2025-02-15 15:51:55,Web,15,344,0,0
T97,C8458,9076.02,Withdrawal,"Ericbury, France",2025-01-08 23:52:26,POS Terminal,9,318,1,1
T98,C4783,4729.08,Online Payment,"Meganmouth, Faroe Islands",2025-01-24 17:16:58,Mobile,20,515,1,1
T99,C3326,5941.09,Online Payment,"Banksland, Bolivia",2025-02-15 21:18:12,Web,18,651,0,0
T100,C5056,4320.97,Transfer,"North Scott, Ethiopia",2025-02-14 09:14:03,Mobile,4,647,0,0
T101,C5842,8585.21,Withdrawal,"Lake Joshua, Peru",2025-01-28 23:13:57,ATM,7,420,0,0
T102,C6805,1748.68,Deposit,"Brittanyview, Kenya",2025-01-17 14:36:30,Web,1,592,0,0
T103,C2708,1092.49,Withdrawal,"Adrianaberg, Guadeloupe",2025-02-02 05:34:36,Web,20,400,0,0
T104,C8796,658.98,Deposit,"Pricefurt, Hong Kong",2025-02-12 04:55:29,Web,5,502,0,0
T105,C1093,8143.67,Online Payment,"Annetteton, Congo",2025-02-01 07:22:08,POS Terminal,1,574,1,0
T106,C6355,3751.76,Deposit,"West Nicoleview, Saint Kitts and Nevis",2025-01-28 09:43:55,Mobile,3,748,0,0
T107,C5136,3388.38,Withdrawal,"Garzahaven, Armenia",2025-01-26 07:49:24,Web,18,735,0,0
T108,C3364,2938.48,Transfer,"Thompsonshire, Svalbard & Jan Mayen Islands",2025-02-04 21:38:53,POS Terminal,3,333,0,1
T109,C6715,7538.73,Deposit,"Lopezside, Jordan",2025-02-11 02:37:00,Web,4,504,1,1
T110,C3518,3932.52,Withdrawal,"New Dawn, Croatia",2025-01-22 16:26:26,Mobile,3,582,0,0
T111,C2011,8028.86,Withdrawal,"Torresburgh, Burkina Faso",2025-02-16 07:21:50,Mobile,16,337,0,0
T112,C8555,4885.07,Withdrawal,"East Jamesshire, Haiti",2025-02-06 19:26:26,Web,9,799,0,0
T113,C1282,3966.49,Deposit,"South Elizabethfurt, Kenya",2025-01-22 17:48:42,Web,13,374,1,1
T114,C1950,1917.77,Online Payment,"Karenborough, Chad",2025-01-15 21:19:51,Web,3,562,0,0
T115,C2787,9019.86,Withdrawal,"Port Randallmouth, Cameroon",2025-01-21 16:39:06,Web,11,577,0,0
T116,C7427,7443.31,Withdrawal,"Lake Kelliton, Gabon",2025-02-04 17:04:53,POS Terminal,11,800,1,0
T117,C8798,5649.32,Online Payment,"Dianeview, British Virgin Islands",2025-01-01 10:49:32,ATM,18,684,0,0
T118,C1123,9877.29,Online Payment,"Johnsonville, Bolivia",2025-01-24 22:45:44,Web,20,337,0,1
T119,C6074,5307.78,Deposit,"Port Evanstad, Ethiopia",2025-02-08 09:06:36,ATM,13,831,1,0
T120,C8386,2422.62,Withdrawal,"Grahamberg, Bulgaria",2025-01-04 11:47:36,ATM,4,673,1,0
T121,C1253,5373.52,Withdrawal,"North Dana, Andorra",2025-02-10 17:37:26,ATM,11,796,1,1
T122,C3432,6181.37,Deposit,"Ronnieborough, Ghana",2025-01-14 15:49:39,Mobile,16,413,1,1
T123,C6446,6990.68,Deposit,"Hendrixtown, Palau",2025-01-25 07:54:55,ATM,12,631,1,0
T124,C4731,8387.59,Online Payment,"Evansfurt, Sri Lanka",2025-01-07 00:41:07,POS Terminal,3,774,0,0
T125,C4075,415.04,Online Payment,"East Sarah, Korea",2025-02-08 08:52:52,ATM,4,668,1,1
T126,C2377,8957.81,Transfer,"Damonton, Sierra Leone",2025-01-25 17:10:30,Mobile,12,331,0,0
T127,C7768,3332.92,Withdrawal,"Lake Davidburgh, Palestinian Territory",2025-01-07 10:33:02,Mobile,14,475,1,0
T128,C4970,535.65,Deposit,"Dwayneland, Sri Lanka",2025-01-30 01:39:09,Web,13,835,0,0
T129,C8054,5344.05,Transfer,"Greeneport, Guam",2025-01-07 04:20:38,Web,13,573,1,0
T130,C4653,5595.79,Withdrawal,"Nathanborough, Nepal",2025-01-20 11:54:56,ATM,17,659,0,0
T131,C4912,5901.81,Deposit,"South Randyville, Guyana",2025-01-20 02:52:25,Web,8,631,1,0
T132,C9917,4422.4,Transfer,"Matthewfort, China",2025-02-13 12:21:20,Mobile,15,687,1,1
T133,C4078,1701.98,Online Payment,"Ryanton, El Salvador",2025-02-04 08:29:16,ATM,17,410,1,0
T134,C5240,8573.6,Transfer,"Jamieside, Burundi",2025-02-11 19:52:24,Web,18,463,0,0
T135,C3381,1672.62,Deposit,"Lake Trevormouth, Romania",2025-01-02 14:35:15,ATM,5,545,1,0
T136,C4526,4924.09,Withdrawal,"Kimberlyland, Pitcairn Islands",2025-02-14 17:14:53,Mobile,18,608,1,1
T137,C3684,7341.45,Withdrawal,"Lake Veronicatown, Japan",2025-02-03 13:44:25,Web,9,816,1,0
T138,C9956,8128.54,Online Payment,"Michaelstad, Jersey",2025-01-10 19:04:25,Mobile,17,468,1,0
T139,C2891,5516.53,Withdrawal,"West Heatherfort, Bermuda",2025-01-10 12:47:41,ATM,18,399,1,0
T140,C9798,7666.93,Transfer,"Calvinchester, Ecuador",2025-01-08 05:52:44,Web,5,828,1,0
T141,C7394,3387.16,Transfer,"Kingborough, Northern Mariana Islands",2025-01-05 20:47:58,POS Terminal,6,639,1,1
T142,C8052,1005.02,Deposit,"East Juan, Tuvalu",2025-01-02 14:31:43,Web,12,548,1,0
T143,C7071,846.72,Online Payment,"Lopezfurt, Ireland",2025-01-30 03:04:22,Mobile,20,733,0,0
T144,C3458,4475.51,Online Payment,"West Nicholastown, Saint Barthelemy",2025-01-12 11:45:48,ATM,15,586,1,0
T145,C1819,8730.95,Transfer,"Cynthiaside, Gambia",2025-01-18 12:28:54,Web,3,821,0,0
T146,C3850,4535.49,Transfer,"Port Heather, Sri Lanka",2025-01-07 20:45:30,Web,12,828,1,1
T147,C5323,6604.09,Withdrawal,"Santiagostad, Nigeria",2025-02-02 22:39:26,Mobile,4,327,1,0
T148,C5799,603.75,Transfer,"Harperside, Bhutan",2025-02-11 13:42:01,Mobile,2,522,1,0
T149,C5836,6775.64,Transfer,"Pattersontown, Costa Rica",2025-02-14 04:49:51,ATM,19,523,1,1
T150,C5160,53.74,Transfer,"West Brendastad, Greece",2025-01-27 20:18:26,Mobile,10,394,1,0
T151,C4686,1522.1,Deposit,"Simonland, Mayotte",2025-02-08 18:12:12,Mobile,16,781,1,0
T152,C1023,7735.25,Deposit,"Lindamouth, Serbia",2025-01-09 05:27:07,Mobile,13,324,0,0
T153,C6673,6802.45,Deposit,"Port Michael, Norfolk Island",2025-01-03 02:59:04,POS Terminal,13,366,0,1
T154,C6935,1604.49,Withdrawal,"South Sara, Australia",2025-02-02 14:29:16,ATM,9,606,0,1
T155,C5508,8516.29,Online Payment,"Danielleburgh, Mozambique",2025-01-21 10:59:53,Mobile,14,784,0,0
T156,C9854,4018.93,Transfer,"Michaeltown, Guinea-Bissau",2025-01-20 22:39:53,ATM,2,734,1,1
T157,C3686,2957.41,Deposit,"Humphreyville, Svalbard & Jan Mayen Islands",2025-01-28 23:53:38,Mobile,13,342,0,1
T158,C2617,1345.97,Withdrawal,"Lake Howardland, Netherlands",2025-01-24 06:02:42,ATM,7,496,1,1
T159,C2712,6950.61,Transfer,"North Hannah, Senegal",2025-01-25 10:25:37,Web,9,805,1,0
T160,C9252,3434.15,Transfer,"Lake Bobbychester, Syrian Arab Republic",2025-01-10 19:02:01,Web,13,789,0,0
T161,C8391,8871.46,Deposit,"Mayview, Aruba",2025-02-07 19:58:29,Web,11,490,1,1
T162,C9080,2628.56,Deposit,"Toddton, Russian Federation",2025-01-21 00:43:12,POS Terminal,8,382,0,1
T163,C8088,5917.42,Online Payment,"North Matthewshire, Russian Federation",2025-02-07 00:51:07,Mobile,11,350,0,1
T164,C4044,7340.16,Deposit,"Port Brianbury, Christmas Island",2025-01-13 02:03:45,ATM,12,684,0,0
T165,C2637,6990.46,Transfer,"Justinmouth, Lao People's Democratic Republic",2025-01-25 05:34:22,Mobile,1,767,0,0
T166,C7863,3210.15,Online Payment,"Estradaborough, Georgia",2025-01-07 13:19:09,Web,13,732,0,0
T167,C1537,2462.74,Deposit,"Melindashire, Oman",2025-01-22 15:40:04,POS Terminal,7,815,1,0
T168,C9631,1686.99,Withdrawal,"Mcgeeburgh, Yemen",2025-02-05 05:10:35,Mobile,20,459,1,0
T169,C8653,1982.29,Transfer,"South Carol, Tuvalu",2025-01-11 16:14:33,POS Terminal,3,432,1,1
T170,C9232,8282.08,Transfer,"Matthewberg, Mexico",2025-01-13 03:40:13,Mobile,6,675,1,0
T171,C5484,8626.05,Withdrawal,"Rodriguezville, Guatemala",2025-01-21 03:02:18,Web,15,752,0,0
T172,C6575,3553.87,Deposit,"Smithfort, Botswana",2025-02-08 05:35:36,POS Terminal,5,361,1,1
T173,C6795,5141.59,Transfer,"North John, British Indian Ocean Territory (Chagos Archipelago)",2025-02-11 20:45:39,Mobile,18,537,0,0
T174,C8205,2180.79,Deposit,"East Saraport, United States Virgin Islands",2025-01-30 14:49:08,POS Terminal,16,789,0,0
T175,C2687,3005.04,Deposit,"Port Adamtown, Jersey",2025-01-03 18:16:41,Web,17,368,0,1
T176,C4317,738.5,Online Payment,"South Joseph, South Georgia and the South Sandwich Islands",2025-01-22 14:03:49,ATM,13,375,0,0
T177,C5217,7321.6,Online Payment,"New David, Antarctica (the territory South of 60 deg S)",2025-02-05 14:18:55,POS Terminal,6,548,1,0
T178,C8861,4867.24,Online Payment,"Beardborough, Haiti",2025-01-09 18:39:51,ATM,5,656,0,0
T179,C3257,9039.55,Deposit,"East Thomasview, Iceland",2025-01-04 11:16:15,POS Terminal,13,625,1,0
T180,C4150,2640.42,Withdrawal,"West Ann, Chad",2025-02-13 02:20:01,POS Terminal,18,304,0,0
T181,C5613,935.78,Transfer,"West Kellymouth, Singapore",2025-01-16 14:18:46,Web,18,691,0,0
T182,C8320,9751.95,Deposit,"West Kevinberg, Tajikistan",2025-01-09 03:17:44,Web,10,674,0,0
T183,C1098,2449.39,Online Payment,"Carpenterville, Cambodia",2025-01-18 15:30:50,Mobile,19,379,1,1
T184,C5973,7800.27,Online Payment,"North Jeffrey, Haiti",2025-02-16 00:09:42,Mobile,11,354,1,0
T185,C3415,8298.45,Withdrawal,"Lake Andrea, Lao People's Democratic Republic",2025-01-23 01:30:33,Mobile,19,577,1,0
T186,C4552,7749.37,Online Payment,"Fitzgeraldhaven, Bahamas",2025-01-17 16:13:46,POS Terminal,3,824,0,0
T187,C5948,2326.74,Deposit,"Andrewsfort, Congo",2025-02-13 11:41:44,Web,11,704,0,1
T188,C1479,94.05,Transfer,"East Stephanieport, New Caledonia",2025-01-05 18:11:11,ATM,3,727,0,0
T189,C9041,212.18,Deposit,"North Jason, Lithuania",2025-01-12 07:11:19,Web,7,541,1,0
T190,C6341,6422.62,Transfer,"Latoyashire, Svalbard & Jan Mayen Islands",2025-01-16 07:34:21,Web,9,645,0,0
T191,C4127,7672.37,Deposit,"New Joybury, Congo",2025-01-07 21:49:07,Web,20,551,0,0
T192,C6935,3561.14,Withdrawal,"Jeffchester, Egypt",2025-01-03 05:43:48,Web,15,453,0,0
T193,C3879,1182.85,Deposit,"Port Isabel, Congo",2025-02-13 00:23:18,Web,17,399,1,1
T194,C4205,24.0,Withdrawal,"Burnsmouth, Christmas Island",2025-01-10 08:21:10,Mobile,20,684,1,0
T195,C7772,5212.96,Deposit,"New Donald, Costa Rica",2025-01-11 11:57:42,Mobile,20,491,0,1
T196,C5217,6679.59,Withdrawal,"Jessicafurt, Palestinian Territory",2025-01-09 02:26:11,ATM,10,564,0,0
T197,C1328,6693.73,Online Payment,"Tiffanyville, Netherlands",2025-01-18 05:41:22,Mobile,16,790,1,0
T198,C8727,9510.74,Deposit,"Port Francisco, Andorra",2025-01-11 23:59:47,Mobile,19,453,0,0
T199,C2080,7125.72,Online Payment,"Jacksonland, Liechtenstein",2025-01-10 00:49:09,ATM,19,824,0,0
T200,C5304,8817.68,Transfer,"Rebeccaview, Philippines",2025-02-03 04:18:07,POS Terminal,15,833,0,1
T201,C3764,3478.2,Withdrawal,"Jacksonberg, Canada",2025-02-02 19:14:24,Mobile,10,845,0,0
T202,C3687,3830.73,Deposit,"Port Kennethchester, Dominica",2025-01-28 18:15:06,Web,17,371,0,0
T203,C4786,2229.75,Deposit,"Port Joseph, Madagascar",2025-02-06 12:36:30,Mobile,2,653,1,0
T204,C1310,8614.98,Withdrawal,"East Anthonystad, New Caledonia",2025-01-28 23:21:44,POS Terminal,18,633,1,0
T205,C6231,7073.59,Deposit,"Barbarachester, Gabon",2025-01-11 23:55:31,ATM,7,682,0,0
T206,C5968,8621.79,Online Payment,"Shermanview, Indonesia",2025-01-11 10:19:06,POS Terminal,7,637,1,0
T207,C4061,2245.5,Online Payment,"Lindsayland, Wallis and Futuna",2025-01-14 12:49:10,ATM,14,445,0,0
T208,C7425,5570.2,Withdrawal,"North Davidmouth, Cuba",2025-02-06 13:54:51,Web,17,715,0,1
T209,C2631,6014.65,Withdrawal,"Port Kaitlynfort, Lao People's Democratic Republic",2025-02-04 04:28:55,POS Terminal,6,404,0,1
T210,C2171,8196.85,Withdrawal,"Gibbsbury, Mauritius",2025-01-21 03:27:45,POS Terminal,1,478,0,1
T211,C3409,1786.7,Online Payment,"Lake Jose, Finland",2025-01-04 22:28:16,Web,15,730,0,0
T212,C8267,1072.62,Transfer,"West Paul, Hungary",2025-02-06 02:45:55,POS Terminal,20,739,1,0
T213,C6941,3833.72,Transfer,"East Charlesfort, Malta",2025-01-09 12:27:37,POS Terminal,17,561,0,0
T214,C8969,774.79,Online Payment,"New Jeffreyborough, Svalbard & Jan Mayen Islands",2025-02-04 11:55:06,Web,10,725,1,0
T215,C9764,7772.57,Deposit,"Johnsonstad, Uganda",2025-02-11 19:33:24,Mobile,10,772,1,1
T216,C1452,2956.81,Withdrawal,"West Kristy, Somalia",2025-02-09 02:58:05,ATM,20,356,0,0
T217,C7760,9963.77,Deposit,"New Sarahborough, Svalbard & Jan Mayen Islands",2025-01-26 21:34:03,Web,7,799,0,0
T218,C3781,4150.16,Transfer,"Jaredside, Burundi",2025-01-11 00:27:59,Mobile,4,345,0,0
T219,C1664,3755.63,Deposit,"East Christinahaven, Taiwan",2025-01-27 15:01:30,Mobile,16,560,1,1
T220,C6574,2100.5,Deposit,"South Anthonymouth, Armenia",2025-01-04 02:08:42,ATM,13,527,0,0
T221,C2171,5228.19,Deposit,"Lake Sharon, Palau",2025-01-01 14:37:13,ATM,14,416,1,0
T222,C5531,9663.28,Withdrawal,"New David, Micronesia",2025-01-08 08:19:35,ATM,16,381,0,0
T223,C5063,7869.92,Online Payment,"East Alexanderview, Samoa",2025-01-25 15:41:55,ATM,4,756,0,0
T224,C8787,1767.89,Online Payment,"Hayesshire, Thailand",2025-02-06 21:57:12,ATM,18,442,0,0
T225,C2641,6532.49,Withdrawal,"Donaldfort, Korea",2025-01-28 03:42:06,Web,14,630,1,1
T226,C2410,3653.69,Withdrawal,"Port Louisburgh, Georgia",2025-02-08 17:00:38,Web,2,543,0,0
T227,C6971,561.46,Deposit,"New Codyfurt, Costa Rica",2025-01-01 10:47:41,POS Terminal,3,848,1,1
T228,C7142,1065.42,Online Payment,"New Nicholasmouth, Canada",2025-01-06 06:56:47,POS Terminal,2,650,0,0
T229,C8319,9762.16,Withdrawal,"Newmanborough, Chile",2025-01-21 04:53:29,Mobile,12,519,0,0
T230,C7570,1565.42,Deposit,"South Jeremy, Tanzania",2025-01-08 01:09:20,POS Terminal,15,513,1,0
T231,C6696,9148.31,Online Payment,"New Alexa, Saint Barthelemy",2025-01-03 23:43:57,Web,9,711,0,0
T232,C8413,1428.65,Online Payment,"New Sharonville, Qatar",2025-01-02 21:35:06,Mobile,7,612,1,1
T233,C4974,7906.04,Transfer,"Dylanberg, Congo",2025-01-15 14:37:06,Web,5,396,1,0
T234,C2676,2536.55,Online Payment,"Annafurt, Wallis and Futuna",2025-01-04 11:21:34,ATM,1,708,0,0
T235,C7403,9458.98,Online Payment,"Port Sarah, El Salvador",2025-01-30 19:29:11,POS Terminal,5,363,1,1
T236,C6175,536.71,Transfer,"Nunezview, Guinea",2025-02-13 20:11:35,Mobile,5,536,1,0
T237,C8941,5299.21,Online Payment,"Nicholasberg, Nigeria",2025-02-08 09:06:04,ATM,3,334,1,0
